"",artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,provided_dependency,dependency,num_use_import,num_unused_import,num_import_but_unused,num_use_import_in_file,num_unused_import_in_file,avg_use_import_in_each_file,avg_unused_import_in_each_file,num_files
2,org.jeecgframework.nacos:nacos-api,org.jeecgframework.nacos:nacos-api:2.3.2,2.3.2,1720620475000,7,8,8,0,"[""io.grpc:grpc-stub:1.57.2:compile"",""io.grpc:grpc-protobuf:1.57.2:compile"",""javax.annotation:javax.annotation-api:1.3.2:compile"",""com.fasterxml.jackson.core:jackson-databind:2.13.5:compile"",""io.grpc:grpc-netty-shaded:1.57.2:compile"",""com.google.protobuf:protobuf-java:3.22.3:compile"",""com.google.api.grpc:proto-google-common-protos:2.17.0:compile"",""com.fasterxml.jackson.core:jackson-core:2.13.5:compile""]",7,3,0,347,9,2.090361,0.054217,166
62,tech.aroma:aroma-notification-service,tech.aroma:aroma-notification-service:2.0,2.0,1498493257000,0,16,8,0,"[""org.hamcrest:hamcrest-library:1.3:test"",""ch.qos.logback:logback-classic:1.2.3:runtime"",""org.slf4j:slf4j-nop:1.7.25:test"",""tech.sirwellington.alchemy:alchemy-http-mock:1.1:test"",""org.mockito:mockito-core:2.8.9:test"",""tech.aroma:aroma-thrift-generators:2.0.1:test"",""tech.sirwellington.alchemy:alchemy-collections:1.1:compile"",""com.google.inject:guice:4.1.0:compile"",""com.notnoop.apns:apns:1.0.0.Beta6:compile"",""tech.aroma:aroma-thrift:2.0.2:compile"",""org.slf4j:slf4j-api:1.7.25:compile"",""tech.sirwellington.alchemy:alchemy-thrift:2.0:compile"",""tech.sirwellington.alchemy:alchemy-http:1.3:compile"",""tech.sirwellington.alchemy:alchemy-generator:2.1.1:compile"",""tech.sirwellington.alchemy:alchemy-test:2.1.1:test"",""junit:junit:4.12:test""]",6,2,0,130,0,11.818182,0.000000,11
23,com.sondertara:common-tara,com.sondertara:common-tara:1.0.3,1.0.3,1674034241000,0,12,10,1,"[""com.google.guava:guava:31.1-jre:compile"",""jakarta.servlet:jakarta.servlet-api:4.0.4:provided"",""commons-codec:commons-codec:1.15:compile"",""commons-io:commons-io:2.11.0:compile"",""org.javassist:javassist:3.29.2-GA:compile"",""org.apache.commons:commons-lang3:3.12.0:compile"",""org.apache.commons:commons-collections4:4.4:compile"",""org.projectlombok:lombok:1.18.24:compile"",""org.slf4j:slf4j-api:2.0.5:compile"",""org.junit.jupiter:junit-jupiter:5.8.2:test"",""com.alibaba.fastjson2:fastjson2:2.0.20:compile"",""org.bouncycastle:bcprov-jdk15on:1.70:compile""]",9,2,0,1363,9,6.747525,0.044554,202
36,com.vaadin.external.atmosphere:atmosphere-annotations,com.vaadin.external.atmosphere:atmosphere-annotations:2.4.24.vaadin3,2.4.24.vaadin3,1701349435000,1,3,2,1,"[""com.vaadin.external.slf4j:vaadin-slf4j-jdk14:1.6.1:compile"",""com.vaadin.external.atmosphere:atmosphere-runtime:2.4.24.vaadin3:compile"",""org.eclipse.jetty:jetty-websocket:7.6.9.v20130131:provided""]",1,2,0,45,1,5.625000,0.125000,8
53,org.appverse.web.framework.modules.backend.frontfacade.gwt:appverse-web-modules-backend-frontfacade-gwt,org.appverse.web.framework.modules.backend.frontfacade.gwt:appverse-web-modules-backend-frontfacade-gwt:1.5.4-RELEASE,1.5.4-RELEASE,1449047091000,0,7,6,1,"[""javax.servlet:javax.servlet-api:3.0.1:provided"",""com.google.gwt:gwt-servlet:2.6.1:compile"",""org.apache.tika:tika-app:1.7:compile"",""org.glassfish.jersey.media:jersey-media-multipart:2.13:compile"",""org.glassfish.jersey.ext:jersey-spring3:2.13:compile"",""org.glassfish.jersey.containers:jersey-container-servlet:2.13:compile"",""org.appverse.web.framework.modules.backend.core.api:appverse-web-modules-backend-core-api:1.5.4-RELEASE:compile""]",6,2,0,115,0,5.227273,0.000000,22
41,com.github.thorbenkuck:NetCom2-Logging,com.github.thorbenkuck:NetCom2-Logging:1.3.1,1.3.1,1569683865000,0,4,2,0,"[""org.mockito:mockito-core:2.15.0:compile"",""com.github.thorbenkuck:keller-core:1.0.2:compile"",""org.hamcrest:hamcrest-all:1.3:test"",""junit:junit:4.12:test""]",0,2,0,12,0,0.857143,0.000000,14
42,cn.smartcoding:smart-job-starter,cn.smartcoding:smart-job-starter:1.0.0,1.0.0,1608018781000,0,3,1,2,"[""cn.smartcoding:smart-job-core:1.0.0:compile"",""org.springframework.boot:spring-boot-configuration-processor:2.0.4.RELEASE:provided"",""org.springframework.boot:spring-boot-starter:2.0.4.RELEASE:provided""]",1,2,0,9,0,4.500000,0.000000,2
56,org.littleshoot:xmpp,org.littleshoot:xmpp:1.0.9,1.0.9,1398890411000,0,10,9,0,"[""log4j:log4j:1.2.17:compile"",""org.littleshoot:p2p-sockets:1.0.3:compile"",""org.littleshoot:smack-xmpp-3-2-2:1.0.6:compile"",""junit:junit:4.11:test"",""org.slf4j:slf4j-api:1.7.2:compile"",""org.littleshoot:util:1.0.3:compile"",""org.slf4j:slf4j-log4j12:1.7.2:compile"",""org.littleshoot:offer-answer:1.0.3:compile"",""org.littleshoot:dnssec4j:0.1.5:compile"",""org.littleshoot:mina-util:1.0.3:compile""]",7,2,0,235,0,13.823529,0.000000,17
49,com.hack23.sonar:sonar-cloudformation-plugin,com.hack23.sonar:sonar-cloudformation-plugin:3.0.11,3.0.11,1671037442000,0,11,5,1,"[""org.apache.commons:commons-lang3:3.12.0:compile"",""org.apache.commons:commons-csv:1.10.0:test"",""junit:junit:4.13.2:test"",""com.fasterxml.staxmate:staxmate:2.4.0:compile"",""com.openpojo:openpojo:0.9.1:test"",""org.mockito:mockito-core:4.9.0:test"",""commons-io:commons-io:2.11.0:compile"",""com.fasterxml.jackson.core:jackson-databind:2.14.1:compile"",""org.sonarsource.sonarqube:sonar-testing-harness:8.9.10.61524:test"",""org.sonarsource.analyzer-commons:sonar-analyzer-commons:2.1.0.1111:compile"",""org.sonarsource.sonarqube:sonar-plugin-api:7.9:provided""]",4,2,0,141,0,5.875000,0.000000,24
28,com.yicenyun.casdoor:casdoor-client,com.yicenyun.casdoor:casdoor-client:1.3.0,1.3.0,1704038253000,0,10,7,0,"[""org.junit.jupiter:junit-jupiter-api:5.10.1:test"",""com.squareup.okhttp3:okhttp:5.0.0-alpha.11:compile"",""org.junit.jupiter:junit-jupiter-engine:5.10.1:test"",""com.squareup.okhttp3:logging-interceptor:5.0.0-alpha.11:compile"",""com.squareup.okhttp3:mockwebserver3-junit5:5.0.0-alpha.11:test"",""com.squareup.retrofit2:converter-jackson:2.9.0:compile"",""org.apache.oltu.oauth2:org.apache.oltu.oauth2.client:1.0.2:compile"",""com.nimbusds:nimbus-jose-jwt:9.37.2:compile"",""com.squareup.retrofit2:retrofit:2.9.0:compile"",""commons-beanutils:commons-beanutils:1.9.4:compile""]",5,2,0,284,0,5.680000,0.000000,50
48,com.insidecoding:sos,com.insidecoding:sos:1.3.2,1.3.2,1363034350000,0,9,9,0,"[""org.apache.poi:poi-ooxml-schemas:3.9:compile"",""org.seleniumhq.selenium:selenium-java:2.29.0:compile"",""log4j:log4j:1.2.17:compile"",""xml-apis:xml-apis:1.4.01:compile"",""org.seleniumhq.selenium:selenium-htmlunit-driver:2.29.0:compile"",""junit:junit:4.10:compile"",""org.apache.poi:poi-ooxml:3.9:compile"",""org.apache.poi:poi:3.9:compile"",""commons-lang:commons-lang:2.6:compile""]",8,2,0,137,0,15.222222,0.000000,9
79,org.zalando:jackson-module-unknown-property,org.zalando:jackson-module-unknown-property:0.2.1,0.2.1,1532676396000,0,9,2,2,"[""com.google.code.findbugs:jsr305:3.0.2:provided"",""org.hamcrest:hamcrest-all:1.3:test"",""org.slf4j:slf4j-api:1.7.25:compile"",""org.slf4j:slf4j-simple:1.7.25:test"",""org.mockito:mockito-core:2.20.0:test"",""junit:junit:4.12:test"",""com.google.guava:guava:25.1-jre:test"",""com.fasterxml.jackson.core:jackson-databind:2.9.6:compile"",""com.google.gag:gag:1.0.1:provided""]",2,2,0,12,0,6.000000,0.000000,2
91,nl.basjes.parse.useragent:yauaa-logparser,nl.basjes.parse.useragent:yauaa-logparser:7.27.0,7.27.0,1724509696000,0,12,1,3,"[""org.junit.jupiter:junit-jupiter-engine:5.11.0:test"",""org.junit.jupiter:junit-jupiter-params:5.11.0:test"",""org.hamcrest:hamcrest-core:3.0:test"",""org.antlr:antlr4-runtime:[4.13.2]:test"",""org.apache.logging.log4j:log4j-core:2.23.1:provided"",""org.apache.logging.log4j:log4j-slf4j-impl:2.23.1:test"",""org.yaml:snakeyaml:2.2:test"",""org.junit.vintage:junit-vintage-engine:5.11.0:test"",""nl.basjes.parse.httpdlog:httpdlog-parser:5.11.0:provided"",""nl.basjes.parse:parser-core:5.11.0:test"",""nl.basjes.parse:parser-core:5.11.0:provided"",""nl.basjes.parse.useragent:yauaa:7.27.0:compile""]",2,2,0,20,0,20.000000,0.000000,1
94,com.darwinsys:darwinsys-api,com.darwinsys:darwinsys-api:1.8.0,1.8.0,1706803006000,0,4,2,1,"[""org.junit.vintage:junit-vintage-engine:5.7.1:compile"",""org.junit.jupiter:junit-jupiter-params:5.7.1:test"",""org.junit.jupiter:junit-jupiter-engine:5.7.1:compile"",""com.sun.mail:jakarta.mail:2.0.1:provided""]",1,2,0,889,9,4.779570,0.048387,186
67,at.molindo.social:spring-social-openid,at.molindo.social:spring-social-openid:1.1.1.RELEASE,1.1.1.RELEASE,1449668810000,0,10,6,1,"[""org.springframework.security:spring-security-openid:3.2.8.RELEASE:compile"",""log4j:log4j:1.2.17:test"",""javax.servlet:javax.servlet-api:3.0.1:provided"",""org.springframework:spring-core:4.1.8.RELEASE:compile"",""org.slf4j:slf4j-log4j12:1.7.3:test"",""junit:junit:4.11:test"",""org.slf4j:slf4j-api:1.7.3:compile"",""org.slf4j:jcl-over-slf4j:1.7.3:compile"",""org.springframework.social:spring-social-security:1.1.4.RELEASE:compile"",""org.springframework.social:spring-social-core:1.1.4.RELEASE:compile""]",6,1,0,54,0,4.500000,0.000000,12
70,org.mirah.maven:maven-mirah-plugin,org.mirah.maven:maven-mirah-plugin:1.0,1.0,1300928834000,0,5,5,0,"[""org.apache.maven.plugins:maven-compiler-plugin:2.3.2:compile"",""org.mirah:mirah-complete:0.0.7:compile"",""org.codehaus.plexus:plexus-utils:2.0.1:compile"",""org.apache.maven:maven-project:2.2.1:compile"",""org.apache.maven:maven-plugin-api:2.2.1:compile""]",4,1,0,8,3,8.000000,3.000000,1
73,com.github.hammelion:jraml,com.github.hammelion:jraml:0.3,0.3,1434543897000,0,9,5,1,"[""junit:junit:4.12:test"",""org.httpunit:httpunit:1.7.2:test"",""org.hamcrest:hamcrest-all:1.3:test"",""org.jukito:jukito:1.4.1:compile"",""com.google.inject:guice:4.0:provided"",""org.reflections:reflections:0.9.9:compile"",""org.raml:raml-parser:0.8.11:compile"",""javax.ws.rs:javax.ws.rs-api:2.0.1:compile"",""javax.servlet:javax.servlet-api:3.1.0:compile""]",5,1,0,120,0,8.571429,0.000000,14
76,com.github.jsrdxzw:redis-kit-spring-boot-starter,com.github.jsrdxzw:redis-kit-spring-boot-starter:2.0.0,2.0.0,1651225093000,0,5,5,0,"[""com.fasterxml.jackson.core:jackson-databind:2.13.2.2:compile"",""org.aspectj:aspectjweaver:1.9.7:compile"",""org.springframework.data:spring-data-redis:2.6.3:compile"",""org.springframework.boot:spring-boot-autoconfigure:2.6.6:compile"",""org.springframework.boot:spring-boot-configuration-processor:2.6.6:compile""]",4,1,0,167,0,6.185185,0.000000,27
58,org.neo4j:server-api,org.neo4j:server-api:5.23.0,5.23.0,1724327477000,2,5,3,0,"[""org.assertj:assertj-core:3.26.0:test"",""org.neo4j:neo4j-kernel:5.23.0:compile"",""jakarta.ws.rs:jakarta.ws.rs-api:2.1.6:compile"",""org.junit.jupiter:junit-jupiter:5.10.3:test"",""org.neo4j:annotations:5.23.0:compile""]",2,1,0,49,0,2.882353,0.000000,17
80,org.opengis.cite:ets-cdb10,org.opengis.cite:ets-cdb10:1.1,1.1,1690565435000,0,14,11,0,"[""xml-apis:xml-apis:1.4.01:compile"",""org.testng:testng:6.9.10:compile"",""com.beust:jcommander:1.27:compile"",""com.sun.jersey:jersey-client:1.19:compile"",""javax.ws.rs:jsr311-api:1.1.1:compile"",""org.apache.commons:commons-lang3:3.7:compile"",""junit:junit:4.12:test"",""com.google.inject:guice:4.0:test"",""xerces:xercesImpl:2.12.2:compile"",""commons-io:commons-io:2.7:compile"",""org.opengis.cite.saxon:saxon9:9.0.0.8:compile"",""org.opengis.cite:schema-utils:1.8:compile"",""org.mockito:mockito-core:1.10.19:test"",""org.opengis.cite.teamengine:teamengine-spi:4.9:compile""]",10,1,0,764,0,9.095238,0.000000,84
82,org.correomqtt:correomqtt-client,org.correomqtt:correomqtt-client:0.14.99,0.14.99,1645370484000,0,30,27,0,"[""org.pf4j:pf4j-update:2.3.0:compile"",""commons-io:commons-io:2.11.0:compile"",""org.jdom:jdom2:2.0.6.1:compile"",""com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.13.1:compile"",""org.junit.jupiter:junit-jupiter-api:5.8.2:test"",""com.google.code.gson:gson:2.8.9:compile"",""com.github.xafero.java-keyring:java-keyring:7c26961cc4:compile"",""org.openjfx:javafx-controls:13:compile"",""de.swiesend:secret-service:1.7.0:compile"",""com.fasterxml.jackson.core:jackson-databind:2.13.1:compile"",""com.github.peter-gergely-horvath:windpapi4j:1.0:compile"",""org.testfx:testfx-junit5:4.0.16-alpha:test"",""org.fxmisc.flowless:flowless:0.6.7:compile"",""org.testfx:testfx-core:4.0.16-alpha:test"",""ch.qos.logback:logback-core:1.2.10:compile"",""org.fxmisc.richtext:richtextfx:0.10.7:compile"",""org.pf4j:pf4j:3.6.0:compile"",""org.projectlombok:lombok:1.18.22:compile"",""com.hivemq:hivemq-mqtt-client:1.1.2:compile"",""com.googlecode.json-simple:json-simple:1.1.1:compile"",""org.apache.commons:commons-lang3:3.12.0:compile"",""ch.qos.logback:logback-classic:1.2.10:compile"",""org.slf4j:slf4j-api:1.7.33:compile"",""com.fasterxml.jackson.core:jackson-annotations:2.13.1:compile"",""com.hierynomus:sshj:0.32.0:compile"",""org.openjfx:javafx-fxml:13:compile"",""com.fasterxml.jackson.core:jackson-core:2.13.1:compile"",""org.openjfx:javafx-base:13:compile"",""org.openjfx:javafx-graphics:13:compile"",""org.apache.maven:maven-artifact:3.8.1:compile""]",26,1,1,1755,9,7.343096,0.037657,239
84,com.researchworx.cresco:cresco-library,com.researchworx.cresco:cresco-library:0.4.1,0.4.1,1504205453000,0,2,2,0,"[""commons-configuration:commons-configuration:1.10:compile"",""com.google.code.gson:gson:2.6.2:compile""]",1,1,0,28,0,4.000000,0.000000,7
86,com.naturalprogrammer.cleanflow:cleanflow,com.naturalprogrammer.cleanflow:cleanflow:1.5.4,1.5.4,1651151311000,0,6,1,1,"[""org.projectlombok:lombok:1.18.22:provided"",""org.mockito:mockito-core:4.3.1:test"",""org.mockito:mockito-junit-jupiter:4.3.1:test"",""org.slf4j:slf4j-api:1.7.36:compile"",""ch.qos.logback:logback-classic:1.2.11:test"",""org.junit.jupiter:junit-jupiter:5.8.2:test""]",1,1,0,60,0,7.500000,0.000000,8
92,com.github.groupon.monsoon:monsoon-extra-influx,com.github.groupon.monsoon:monsoon-extra-influx:2.3.1,2.3.1,1513649266000,0,13,5,1,"[""org.hamcrest:hamcrest-all:1.3:test"",""com.github.groupon.monsoon:monsoon-impl-intf:2.3.1:compile"",""org.hamcrest:hamcrest-library:1.3:test"",""org.projectlombok:lombok:1.16.8:provided"",""org.mockito:mockito-all:1.10.19:test"",""org.powermock:powermock-api-mockito:1.6.2:test"",""org.powermock:powermock-module-junit4:1.6.2:test"",""junit:junit:4.12:test"",""com.github.groupon.monsoon:monsoon-collector-base:2.3.1:compile"",""javax.servlet:javax.servlet-api:3.1.0:compile"",""com.google.code.gson:gson:2.4:test"",""org.influxdb:influxdb-java:2.7:compile"",""joda-time:joda-time:2.8:compile""]",5,1,0,158,6,22.571429,0.857143,7
0,com.fuzhutech:fuzhutech-ueditor,com.fuzhutech:fuzhutech-ueditor:1.0.0,1.0.0,1495562978000,0,7,6,0,"[""org.json:json:20160810:compile"",""javax.servlet:javax.servlet-api:3.1.0:compile"",""org.springframework:spring-web:4.1.5.RELEASE:compile"",""commons-codec:commons-codec:1.10:compile"",""org.slf4j:slf4j-log4j12:1.7.7:compile"",""commons-fileupload:commons-fileupload:1.3.2:compile"",""junit:junit:3.8.1:test""]",5,1,0,134,6,5.826087,0.260870,23
50,org.springframework.security:spring-security-jwt,org.springframework.security:spring-security-jwt:1.1.1.RELEASE,1.1.1.RELEASE,1590675484000,106,4,1,0,"[""org.mockito:mockito-all:1.9.5:test"",""junit:junit:4.11:test"",""org.jruby:jruby:1.7.8:test"",""org.bouncycastle:bcpkix-jdk15on:1.64:compile""]",1,1,0,76,1,4.000000,0.052632,19
22,com.coveo:feign-error-decoder,com.coveo:feign-error-decoder:3.1.1,3.1.1,1710532682000,0,12,6,0,"[""ch.qos.logback:logback-core:1.2.13:test"",""org.slf4j:slf4j-api:1.7.36:compile"",""org.junit.jupiter:junit-jupiter-engine:5.8.2:test"",""org.springframework:spring-context:5.3.21:compile"",""ch.qos.logback:logback-classic:1.2.11:test"",""org.mockito:mockito-junit-jupiter:4.6.1:test"",""com.google.truth:truth:1.1.3:test"",""org.springframework:spring-web:5.3.21:compile"",""org.junit.jupiter:junit-jupiter-api:5.8.2:test"",""com.fasterxml.jackson.core:jackson-databind:2.13.3:compile"",""io.github.openfeign:feign-jackson:11.8:compile"",""io.github.openfeign:feign-core:11.8:compile""]",5,1,0,50,0,5.000000,0.000000,10
6,com.qiniu:qiniu-logging-plugin-log4j2,com.qiniu:qiniu-logging-plugin-log4j2:1.0.0,1.0.0,1530865849000,0,4,1,2,"[""com.qiniu:qiniu-pandora-sdk:2.0.2:compile"",""junit:junit:4.12:test"",""org.apache.logging.log4j:log4j-api:2.9.1:provided"",""org.apache.logging.log4j:log4j-core:2.9.1:provided""]",2,1,0,58,0,14.500000,0.000000,4
12,com.google.guava:guava,com.google.guava:guava:33.3.0-jre,33.3.0-jre,1723849699000,300,6,6,0,"[""com.google.errorprone:error_prone_annotations:2.28.0:compile"",""com.google.j2objc:j2objc-annotations:3.0.0:compile"",""com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava:compile"",""org.checkerframework:checker-qual:3.43.0:compile"",""com.google.code.findbugs:jsr305:3.0.2:compile"",""com.google.guava:failureaccess:1.0.2:compile""]",5,1,0,6041,204,9.634769,0.325359,627
11,org.exist-db:exist-xqdoc,org.exist-db:exist-xqdoc:6.2.0,6.2.0,1675550685000,0,9,8,0,"[""junit:junit:4.13.2:test"",""org.xqdoc:xqdoc-conversion:1.6:compile"",""commons-io:commons-io:2.11.0:compile"",""xml-apis:xml-apis:1.4.01:compile"",""net.sf.xmldb-org:xmldb-api:1.7.0:compile"",""org.apache.ant:ant:1.10.13:compile"",""org.exist-db:exist-ant:6.2.0:compile"",""org.apache.logging.log4j:log4j-api:2.19.0:compile"",""org.exist-db:exist-core:6.2.0:compile""]",7,1,0,66,0,16.500000,0.000000,4
31,co.boorse:selenium-table,co.boorse:selenium-table:1.1,1.1,1568699767000,0,3,1,0,"[""org.mockito:mockito-core:2.28.2:test"",""junit:junit:4.11:test"",""org.seleniumhq.selenium:selenium-java:3.141.59:compile""]",0,1,0,29,2,3.222222,0.222222,9
10,com.github.dannil:scb-java-client,com.github.dannil:scb-java-client:3.0.0,3.0.0,1584732292000,0,9,3,0,"[""org.junit.jupiter:junit-jupiter-api:5.6.0:test"",""com.fasterxml.jackson.core:jackson-core:2.10.3:compile"",""com.fasterxml.jackson.core:jackson-databind:2.10.3:compile"",""org.mockito:mockito-core:3.3.3:test"",""org.apache.logging.log4j:log4j-slf4j18-impl:2.13.1:test"",""info.debatty:java-string-similarity:1.2.1:test"",""org.junit.platform:junit-platform-launcher:1.6.0:test"",""org.junit.jupiter:junit-jupiter-engine:5.6.0:test"",""org.slf4j:slf4j-api:1.8.0-beta4:compile""]",2,1,0,1631,0,4.203608,0.000000,388
9,com.github.nalukit:nalu-processor,com.github.nalukit:nalu-processor:2.20.0,2.20.0,1707078638000,0,11,2,0,"[""org.junit.vintage:junit-vintage-engine:5.10.1:test"",""com.google.elemental2:elemental2-dom:1.2.1:test"",""org.junit.platform:junit-platform-runner:1.10.1:test"",""org.junit.jupiter:junit-jupiter-api:5.10.1:test"",""org.gwtproject:gwt-user:2.11.0:test"",""org.junit.jupiter:junit-jupiter-params:5.10.1:test"",""com.google.truth:truth:1.1.3:test"",""org.junit.jupiter:junit-jupiter-engine:5.10.1:test"",""com.google.auto.service:auto-service:1.1.1:compile"",""com.google.testing.compile:compile-testing:0.21.0:test"",""com.github.nalukit:nalu:2.20.0:compile""]",1,1,0,989,0,11.773810,0.000000,84
8,com.github.hxbkx:ExcelUtils,com.github.hxbkx:ExcelUtils:1.4.2,1.4.2,1523413856000,0,9,8,1,"[""org.beanshell:bsh:1.3.0:compile"",""org.apache.poi:poi-ooxml:3.14:compile"",""commons-digester:commons-digester:2.1:compile"",""commons-logging:commons-logging:1.2:compile"",""opensymphony:webwork:2.1.7:compile"",""opensymphony:xwork:1.0.3:compile"",""javax.servlet:servlet-api:2.4:provided"",""commons-beanutils:commons-beanutils:1.9.3:compile"",""org.apache.poi:poi:3.14:compile""]",8,1,0,156,0,6.782609,0.000000,23
34,nl.basjes.parse.useragent:yauaa-pig,nl.basjes.parse.useragent:yauaa-pig:6.12,6.12,1648386271000,0,13,1,2,"[""org.hamcrest:hamcrest-core:2.2:test"",""org.antlr:antlr4-runtime:4.9.3:test"",""org.apache.hadoop:hadoop-client:3.3.2:provided"",""org.apache.logging.log4j:log4j-core:2.17.2:test"",""org.springframework:spring-core:5.3.17:test"",""com.google.guava:guava:31.1-jre:test"",""org.junit.jupiter:junit-jupiter-engine:5.8.2:test"",""org.yaml:snakeyaml:1.30:test"",""org.junit.jupiter:junit-jupiter-params:5.8.2:test"",""org.apache.logging.log4j:log4j-slf4j-impl:2.17.2:test"",""org.python:jython-standalone:2.7.2:test"",""org.apache.pig:pig:0.17.0:provided"",""nl.basjes.parse.useragent:yauaa:6.12:compile""]",2,1,0,12,0,12.000000,0.000000,1
19,de.viaboxx:nlstools,de.viaboxx:nlstools:2.6.9,2.6.9,1520859062000,0,9,7,1,"[""org.apache.poi:poi:3.17:compile"",""junit:junit:4.12:test"",""org.apache.commons:commons-lang3:3.7:compile"",""org.apache.commons:commons-text:1.2:compile"",""org.codehaus.jettison:jettison:1.3.8:compile"",""org.apache.ant:ant:1.10.2:provided"",""commons-io:commons-io:2.6:compile"",""com.thoughtworks.xstream:xstream:1.4.10:compile"",""org.codehaus.groovy:groovy:2.4.14:compile""]",7,1,0,409,0,10.763158,0.000000,38
45,com.bstek.ureport:ureport2-console,com.bstek.ureport:ureport2-console:2.2.9,2.2.9,1533007544000,19,5,4,1,"[""com.bstek.ureport:ureport2-font:2.0.1:compile"",""javax.servlet:servlet-api:2.5:provided"",""org.apache.velocity:velocity:1.7:compile"",""com.bstek.ureport:ureport2-core:2.2.9:compile"",""commons-fileupload:commons-fileupload:1.3.2:compile""]",4,1,0,390,0,12.580645,0.000000,31
7,com.github.ladutsko:isbn-core,com.github.ladutsko:isbn-core:1.5.2,1.5.2,1720254852000,0,6,2,0,"[""ch.qos.logback:logback-classic:1.2.13:test"",""javax.xml.bind:jaxb-api:2.3.1:compile"",""junit:junit:4.13.2:test"",""org.junit.vintage:junit-vintage-engine:5.10.2:test"",""com.sun.xml.bind:jaxb-impl:2.3.8:test"",""org.slf4j:slf4j-api:1.7.36:compile""]",2,0,0,32,0,6.400000,0.000000,5
78,com.moilioncircle:redis-replicator,com.moilioncircle:redis-replicator:3.8.1,3.8.1,1702262819000,0,5,1,0,"[""org.apache.logging.log4j:log4j-slf4j2-impl:2.20.0:test"",""redis.clients:jedis:4.4.2:test"",""junit:junit:4.13.2:test"",""org.apache.logging.log4j:log4j-core:2.20.0:test"",""org.slf4j:slf4j-api:2.0.7:compile""]",1,0,0,1664,4,4.609418,0.011080,361
18,com.tencentcloudapi:tencentcloud-sdk-java-cdwch,com.tencentcloudapi:tencentcloud-sdk-java-cdwch:3.1.1067,3.1.1067,1721767127000,0,1,1,0,"[""com.tencentcloudapi:tencentcloud-sdk-java-common:3.1.1067:compile""]",1,0,0,130148,34846,3.938985,1.054629,33041
15,com.getconvey.oss:dropwizard-api-key-bundle,com.getconvey.oss:dropwizard-api-key-bundle:1.0.0-1.CONVEY.1,1.0.0-1.CONVEY.1,1572277000000,0,8,2,0,"[""org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-grizzly2:2.23.1:test"",""io.dropwizard:dropwizard-testing:1.0.0:test"",""javax.xml.bind:jaxb-api:[2.3.1]:test"",""javax.activation:javax.activation-api:[1.2.0]:test"",""org.mockito:mockito-core:1.10.19:test"",""junit:junit:4.12:test"",""io.dropwizard:dropwizard-auth:1.0.0:compile"",""io.dropwizard:dropwizard-core:1.0.0:compile""]",2,0,0,68,0,6.181818,0.000000,11
81,org.hibernate.search:hibernate-search-util-common,org.hibernate.search:hibernate-search-util-common:7.2.0.Final,7.2.0.Final,1723207353000,5,3,2,1,"[""org.jboss.logging:jboss-logging-annotations:3.0.1.Final:provided"",""io.smallrye:jandex:3.2.0:compile"",""org.jboss.logging:jboss-logging:3.6.0.Final:compile""]",3,0,0,336,3,4.421053,0.039474,76
13,com.io7m.waxmill:com.io7m.waxmill.parser.api,com.io7m.waxmill:com.io7m.waxmill.parser.api:0.0.12,0.0.12,1596281160000,0,8,4,4,"[""org.immutables:value:2.8.3:provided"",""org.osgi:org.osgi.annotation.versioning:1.1.0:provided"",""com.io7m.waxmill:com.io7m.waxmill.exceptions:0.0.12:compile"",""com.io7m.jlexing:com.io7m.jlexing.core:2.0.0:compile"",""com.io7m.immutables.style:com.io7m.immutables.style:0.0.1:provided"",""com.io7m.waxmill:com.io7m.waxmill.client.api:0.0.12:compile"",""org.osgi:org.osgi.annotation.bundle:1.0.0:provided"",""com.io7m.waxmill:com.io7m.waxmill.machines:0.0.12:compile""]",8,0,0,50,0,4.166667,0.000000,12
83,com.aliyun:alibabacloud-agency20221216,com.aliyun:alibabacloud-agency20221216:1.0.10,1.0.10,1713423901000,0,3,1,0,"[""junit:junit:4.13.1:test"",""com.aliyun:aliyun-gateway-pop:0.2.7-beta:compile"",""com.github.tomakehurst:wiremock-standalone:2.24.1:test""]",1,0,0,242,112,2.880952,1.333333,84
93,de.weltraumschaf:freemarkerdown,de.weltraumschaf:freemarkerdown:1.0.0,1.0.0,1460325812000,0,11,5,0,"[""de.weltraumschaf.commons:validate:2.2.0:compile"",""junit:junit:4.12:test"",""com.googlecode.multithreadedtc:multithreadedtc:1.01:test"",""org.hamcrest:hamcrest-library:1.3:test"",""org.mockito:mockito-core:1.10.8:test"",""nl.jqno.equalsverifier:equalsverifier:2.0.2:test"",""org.skyscreamer:jsonassert:1.3.0:test"",""com.github.stephenc.jcip:jcip-annotations:1.0-1:compile"",""de.weltraumschaf.commons:guava:2.2.0:compile"",""org.freemarker:freemarker:2.3.21:compile"",""org.pegdown:pegdown:1.4.2:compile""]",5,0,0,108,1,4.153846,0.038462,26
