,Unnamed: 0.1,Unnamed: 0,artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist
442,1545,139770,com.doctusoft:gwt-mock-2.5.1,com.doctusoft:gwt-mock-2.5.1:0.1.7,0.1.7,1594641371000,0,7,5,https://github.com/Doctusoft/gwt-mock-2.5.1,Doctusoft,gwt-mock-2.5.1,https://api.github.com/repos/Doctusoft/gwt-mock-2.5.1/languages,Java,True
443,1547,187680,com.github.nicho92:mtgstock-api-java,com.github.nicho92:mtgstock-api-java:1.1.3,1.1.3,1720784432000,0,6,5,https://github.com/nicho92/mtgstock-api-java,nicho92,mtgstock-api-java,https://api.github.com/repos/nicho92/mtgstock-api-java/languages,Java,True
444,1549,118496,uk.co.modular-it:bean-utils,uk.co.modular-it:bean-utils:0.9.10,0.9.10,1381296384000,0,7,2,git@github.com:modularit/bean-utils.git,modularit,bean-utils,https://api.github.com/repos/modularit/bean-utils/languages,Java,True
445,1550,447974,com.ttulka.spring.boot.configstore:configuration-properties-store-jdbc-spring-boot-starter,com.ttulka.spring.boot.configstore:configuration-properties-store-jdbc-spring-boot-starter:1.4.0,1.4.0,1654669121000,0,11,4,https://github.com/ttulka/spring-boot-configuration-properties-store,ttulka,spring-boot-configuration-properties-store,https://api.github.com/repos/ttulka/spring-boot-configuration-properties-store/languages,Java,True
446,1558,35983,com.github.dreamroute:tracer-spring-boot-starter,com.github.dreamroute:tracer-spring-boot-starter:1.5.4-RELEASE,1.5.4-RELEASE,1714297969000,0,5,5,https://github.com/Dreamroute/tracer,Dreamroute,tracer,https://api.github.com/repos/Dreamroute/tracer/languages,Java,True
447,1560,245528,uk.gov.gchq.palisade:client-shell,uk.gov.gchq.palisade:client-shell:0.5.1-RELEASE,0.5.1-RELEASE,1628085953000,0,3,3,https://github.com/gchq/Palisade-clients,gchq,Palisade-clients,https://api.github.com/repos/gchq/Palisade-clients/languages,Java,True
448,1564,381991,io.prediction:sdk,io.prediction:sdk:0.9.5,0.9.5,1451343437000,0,1,1,git@github.com:PredictionIO/PredictionIO-Java-SDK.git,PredictionIO,PredictionIO-Java-SDK,https://api.github.com/repos/PredictionIO/PredictionIO-Java-SDK/languages,Java,True
450,1574,233842,uk.me.berndporr:iirj,uk.me.berndporr:iirj:1.7,1.7,1699367972000,3,2,1,https://github.com/berndporr/iirj,berndporr,iirj,https://api.github.com/repos/berndporr/iirj/languages,Java,True
451,1575,135709,com.jayway.maven.plugins.android.generation2:maven-android-plugin,com.jayway.maven.plugins.android.generation2:maven-android-plugin:3.0.0-alpha-11,3.0.0-alpha-11,1317382464000,0,18,13,http://github.com/jayway/maven-android-plugin/tree/${scm.branch},jayway,maven-android-plugin,https://api.github.com/repos/jayway/maven-android-plugin/languages,Java,True
452,1580,99103,org.apache.dubbo:dubbo-container-spring,org.apache.dubbo:dubbo-container-spring:3.2.15,3.2.15,1722829662000,1,2,2,https://github.com/apache/dubbo/dubbo-container/dubbo-container-spring,apache,dubbo,https://api.github.com/repos/apache/dubbo/languages,Java,True
453,1581,153657,org.apache.dubbo:dubbo-spring-boot-autoconfigure,org.apache.dubbo:dubbo-spring-boot-autoconfigure:3.3.0-beta.5,3.3.0-beta.5,1722851898000,2,8,7,https://github.com/apache/dubbo/dubbo-spring-boot/dubbo-spring-boot-autoconfigure,apache,dubbo,https://api.github.com/repos/apache/dubbo/languages,Java,True
455,1583,190322,com.lbyiot:drools-component,com.lbyiot:drools-component:1.0.1-LB,1.0.1-LB,1611805002000,0,5,4,https://github.com/Tearan/lb-components-server,Tearan,lb-components-server,https://api.github.com/repos/Tearan/lb-components-server/languages,Java,True
456,1585,414395,org.bklab:vaadin-14-flow,org.bklab:vaadin-14-flow:1.0.3,1.0.3,1586508778000,0,20,18,git@github.com:CNBroderick/vaadin-14-flow.git,CNBroderick,vaadin-14-flow,https://api.github.com/repos/CNBroderick/vaadin-14-flow/languages,Java,True
457,1586,538400,com.github.shivanikanojia:Logger,com.github.shivanikanojia:Logger:2.1,2.1,1561007282000,0,4,3,https://github.com/shivanikanojia/Logger-With-Spring-AOP-and-AspectJ/tree/master,shivanikanojia,Logger-With-Spring-AOP-and-AspectJ,https://api.github.com/repos/shivanikanojia/Logger-With-Spring-AOP-and-AspectJ/languages,Java,True
458,1595,505965,com.navercorp:svngit,com.navercorp:svngit:0.2.0,0.2.0,1422493842000,0,5,5,git@github.com:naver/svngit.git,naver,svngit,https://api.github.com/repos/naver/svngit/languages,Java,True
459,1597,321964,at.molindo:molindo-amazonclient,at.molindo:molindo-amazonclient:2.0.0,2.0.0,1384443649000,0,5,1,git@github.com:molindo/molindo-amazonclient.git,molindo,molindo-amazonclient,https://api.github.com/repos/molindo/molindo-amazonclient/languages,Java,True
461,1605,282275,de.mytoys.maven.plugins:jspc-maven-plugin,de.mytoys.maven.plugins:jspc-maven-plugin:1.1.0,1.1.0,1307269231000,0,9,9,https://github.com/lenniboy/jspc-maven-plugin,lenniboy,jspc-maven-plugin,https://api.github.com/repos/lenniboy/jspc-maven-plugin/languages,Java,True
463,1609,165573,com.jdcloud.sdk:starshield,com.jdcloud.sdk:starshield:0.0.12,0.0.12,1691737918000,0,1,1,https://github.com/jdcloud-api/jdcloud-sdk-java,jdcloud-api,jdcloud-sdk-java,https://api.github.com/repos/jdcloud-api/jdcloud-sdk-java/languages,Java,True
464,1614,284860,com.github.wustrive2008:base-dao,com.github.wustrive2008:base-dao:1.0,1.0,1689158201000,0,3,3,https://github.com/wustrive2008/base-dao/tree/master,wustrive2008,base-dao,https://api.github.com/repos/wustrive2008/base-dao/languages,Java,True
465,1616,279662,org.apache.directory.fortress:fortress-web,org.apache.directory.fortress:fortress-web:3.0.0,3.0.0,1693580335000,0,14,9,https://github.com/apache/directory-fortress-commander/tree/{project.scm.tag},apache,directory-fortress-commander,https://api.github.com/repos/apache/directory-fortress-commander/languages,Java,True
466,1618,444683,org.lwjgl.osgi:org.lwjgl.libdivide,org.lwjgl.osgi:org.lwjgl.libdivide:3.3.0,3.3.0,1639830256000,0,7,1,https://github.com/LWJGL/lwjgl3-osgi,LWJGL,lwjgl3-osgi,https://api.github.com/repos/LWJGL/lwjgl3-osgi/languages,Java,True
469,1635,90753,org.eclipse.jdt:org.eclipse.jdt.debug.ui,org.eclipse.jdt:org.eclipse.jdt.debug.ui:3.13.400,3.13.400,1717776412000,5,22,22,https://github.com/eclipse-jdt/eclipse.jdt.debug,eclipse-jdt,eclipse.jdt.debug,https://api.github.com/repos/eclipse-jdt/eclipse.jdt.debug/languages,Java,True
471,1638,631340,ph.extremelogic:extremelogic-common-config,ph.extremelogic:extremelogic-common-config:0.0.1,0.0.1,1722266777000,0,3,1,https://github.com/extremelogic-ph/common_config,extremelogic-ph,common_config,https://api.github.com/repos/extremelogic-ph/common_config/languages,Java,True
472,1646,199749,io.github.alexanderschuetz97:LuajLFS,io.github.alexanderschuetz97:LuajLFS:1.3,1.3,1648179531000,0,5,2,https://github.com/AlexanderSchuetz97/LuajLFS/tree/master,AlexanderSchuetz97,LuajLFS,https://api.github.com/repos/AlexanderSchuetz97/LuajLFS/languages,Java,True
474,1650,633200,io.openweb3.xwebhook:x-webhook-spring-boot-autoconfigure,io.openweb3.xwebhook:x-webhook-spring-boot-autoconfigure:0.0.1,0.0.1,1722002139000,0,5,5,https://github.com/x-webhook/x-webhook-spring-boot-autoconfigure.git,x-webhook,x-webhook-spring-boot-autoconfigure,https://api.github.com/repos/x-webhook/x-webhook-spring-boot-autoconfigure/languages,Java,True
475,1656,308604,com.github.ajurasz:embedded-es-annotation,com.github.ajurasz:embedded-es-annotation:0.1,0.1,1510216020000,0,9,4,git@github.com:ajurasz/embedded-es-annotation.git,ajurasz,embedded-es-annotation,https://api.github.com/repos/ajurasz/embedded-es-annotation/languages,Java,True
476,1658,480484,org.freehep:freehep-psviewer,org.freehep:freehep-psviewer:2.0,2.0,1259530822000,0,3,3,http://github.com/freehep/freehep-psviewer,freehep,freehep-psviewer,https://api.github.com/repos/freehep/freehep-psviewer/languages,Java,True
478,1663,466779,com.acidmanic:lightweight-jsonstorage,com.acidmanic:lightweight-jsonstorage:1.0.0,1.0.0,1619483016000,0,3,3,https://github.com/Acidmanic/lightweight-jsonstorage,Acidmanic,lightweight-jsonstorage,https://api.github.com/repos/Acidmanic/lightweight-jsonstorage/languages,Java,True
480,1668,9717,org.kgrid:javascript-adapter,org.kgrid:javascript-adapter:1.0.0,1.0.0,1608148008000,0,5,1,https://github.com/kgrid/kgrid-adapter,kgrid,kgrid-adapter,https://api.github.com/repos/kgrid/kgrid-adapter/languages,Java,True
482,1676,451227,io.github.kilmajster:keycloak-event-listener-slack,io.github.kilmajster:keycloak-event-listener-slack:0.3.0,0.3.0,1665420266000,0,22,2,http://github.com/kilmajster/keycloak-event-listener-slack,kilmajster,keycloak-event-listener-slack,https://api.github.com/repos/kilmajster/keycloak-event-listener-slack/languages,Java,True
483,1679,215081,org.schmidrules:schmidrules,org.schmidrules:schmidrules:1.0.0,1.0.0,1522094537000,0,3,2,http://github.com/schmidrules/schmidrules/tree/master,schmidrules,schmidrules,https://api.github.com/repos/schmidrules/schmidrules/languages,Java,True
484,1682,468774,org.lwjgl:lwjgl-assimp,org.lwjgl:lwjgl-assimp:3.3.4,3.3.4,1721251202000,5,1,1,https://github.com/LWJGL/lwjgl3.git,LWJGL,lwjgl3,https://api.github.com/repos/LWJGL/lwjgl3/languages,Java,True
485,1684,604054,cn.zvo.fileupload:fileupload-config,cn.zvo.fileupload:fileupload-config:1.0,1.0,1720678548000,0,2,1,github.com/xnx3/FileUpload,xnx3,FileUpload,https://api.github.com/repos/xnx3/FileUpload/languages,Java,True
487,1690,345077,com.power4j.fist:fist-support-security,com.power4j.fist:fist-support-security:2022.2.4,2022.2.4,1723185373000,4,16,12,https://github.com/power4j/fckit/fist-kit-dependencies/fist-kit-build/fist-kit-app/fist-security/fist-support-security,power4j,fckit,https://api.github.com/repos/power4j/fckit/languages,Java,True
488,1691,547894,org.hiforce.base:render-protocol,org.hiforce.base:render-protocol:1.0.0,1.0.0,1691373978000,0,11,11,git@github.com:hiforce/render-protocol.git,hiforce,render-protocol,https://api.github.com/repos/hiforce/render-protocol/languages,Java,True
489,1695,203666,com.google.api.grpc:grpc-google-cloud-bigquery-data-exchange-v1beta1,com.google.api.grpc:grpc-google-cloud-bigquery-data-exchange-v1beta1:2.43.0,2.43.0,1724286099000,0,18,17,https://github.com/googleapis/google-cloud-java,googleapis,google-cloud-java,https://api.github.com/repos/googleapis/google-cloud-java/languages,Java,True
490,1696,284297,com.datasalt.pangool:pangool-top-level,com.datasalt.pangool:pangool-top-level:0.70,0.70,1389261922000,0,2,1,https://github.com/datasalt/pangool,datasalt,pangool,https://api.github.com/repos/datasalt/pangool/languages,Java,True
491,1698,481387,int.esa.ccsds.mo:ENCODING_GEN,int.esa.ccsds.mo:ENCODING_GEN:8.2,8.2,1688648221000,0,1,1,https://github.com/esa/mo-services-java,esa,mo-services-java,https://api.github.com/repos/esa/mo-services-java/languages,Java,True
492,1700,63601,com.espertech:esper-common-avro,com.espertech:esper-common-avro:9.0.0,9.0.0,1714133512000,0,6,3,https://github.com/espertechinc/esper.git,espertechinc,esper,https://api.github.com/repos/espertechinc/esper/languages,Java,True
493,1702,495504,com.tosan.tools:tosan-mask-spring-boot-starter,com.tosan.tools:tosan-mask-spring-boot-starter:1.0.9,1.0.9,1714236654000,0,5,4,https://github.com/Tosan/tosan-mask-spring-boot-starter,Tosan,tosan-mask-spring-boot-starter,https://api.github.com/repos/Tosan/tosan-mask-spring-boot-starter/languages,Java,True
494,1710,531893,com.mobius-software.mqttsn:mqtt-sn-parser,com.mobius-software.mqttsn:mqtt-sn-parser:1.0.5,1.0.5,1541435062000,0,4,2,https://github.com/mobius-software-ltd/mqtt-sn-parser,mobius-software-ltd,mqtt-sn-parser,https://api.github.com/repos/mobius-software-ltd/mqtt-sn-parser/languages,Java,True
495,1713,615384,com.webotech:state-machine,com.webotech:state-machine:0.12.1,0.12.1,1721806694000,0,4,1,https://github.com/paulmackinlay/state-machine,paulmackinlay,state-machine,https://api.github.com/repos/paulmackinlay/state-machine/languages,Java,True
497,1718,529242,org.webant:webant,org.webant:webant:1.0.0,1.0.0,1500309968000,0,8,6,https://github.com/sutine/webant,sutine,webant,https://api.github.com/repos/sutine/webant/languages,Java,True
500,1737,79839,org.codehaus.sonar-plugins:sonar-forms-plsql-extractor,org.codehaus.sonar-plugins:sonar-forms-plsql-extractor:1.1,1.1,1400059456000,0,8,3,https://github.com/SonarCommunity/sonar-forms-plsql-extractor,SonarCommunity,sonar-forms-plsql-extractor,https://api.github.com/repos/SonarCommunity/sonar-forms-plsql-extractor/languages,Java,True
503,1748,296703,se.bjornblomqvist:jarinstaller,se.bjornblomqvist:jarinstaller:0.3.0,0.3.0,1549049562000,0,2,1,https://github.com/bjornblomqvist/jarInstaller,bjornblomqvist,jarInstaller,https://api.github.com/repos/bjornblomqvist/jarInstaller/languages,Java,True
505,1752,63649,com.github.biyusir:wxapi,com.github.biyusir:wxapi:2.0,2.0,1590983782000,0,4,4,git:https://github.com/biyusir/eql-plus,biyusir,eql-plus,https://api.github.com/repos/biyusir/eql-plus/languages,Java,True
508,1774,350378,org.eclipse.pde:org.eclipse.pde.spy.event,org.eclipse.pde:org.eclipse.pde.spy.event:1.1.400,1.1.400,1717776489000,0,19,19,https://github.com/eclipse-pde/eclipse.pde,eclipse-pde,eclipse.pde,https://api.github.com/repos/eclipse-pde/eclipse.pde/languages,Java,True
510,1777,161193,com.github.timols:seeder,com.github.timols:seeder:0.1.0,0.1.0,1374613657000,0,6,5,https://github.com/timols/java-seeder,timols,java-seeder,https://api.github.com/repos/timols/java-seeder/languages,Java,True
511,1779,71933,com.bytedanceapi:ttsdk-live_rtc,com.bytedanceapi:ttsdk-live_rtc:1.37.200.6.onekit,1.37.200.6.onekit,1696854243000,0,2,2,https://github.com/TTvcloud/vcloud-sdk-java,TTvcloud,vcloud-sdk-java,https://api.github.com/repos/TTvcloud/vcloud-sdk-java/languages,Java,True
515,1799,357448,com.github.wangzihaogithub:email-service,com.github.wangzihaogithub:email-service:1.1.2,1.1.2,1685684804000,0,3,1,git@github.com:wangzihaogithub/email-service.git,wangzihaogithub,email-service,https://api.github.com/repos/wangzihaogithub/email-service/languages,Java,True
516,1801,157996,de.elomagic:spps-jbc,de.elomagic:spps-jbc:1.2.0,1.2.0,1639901503000,0,7,4,https://github.com/elomagic/spps-jbc,elomagic,spps-jbc,https://api.github.com/repos/elomagic/spps-jbc/languages,Java,True
521,1810,623486,io.github.yisiliang.starter:logback13-spring-boot-starter,io.github.yisiliang.starter:logback13-spring-boot-starter:1.0,1.0,1724070048000,0,7,6,https://github.com/yisiliang/logback13-spring-boot-starter.git,yisiliang,logback13-spring-boot-starter,https://api.github.com/repos/yisiliang/logback13-spring-boot-starter/languages,Java,True
522,1811,385003,org.ianitrix:kafka-tracing-interceptors,org.ianitrix:kafka-tracing-interceptors:0.0.1,0.0.1,1595322154000,0,10,2,https://github.com/GuillaumeWaignier/kafka-tracing-interceptors/tree/master,GuillaumeWaignier,kafka-tracing-interceptors,https://api.github.com/repos/GuillaumeWaignier/kafka-tracing-interceptors/languages,Java,True
524,1816,609717,com.ajaxjs:aj-lightweight-springboot,com.ajaxjs:aj-lightweight-springboot:1.1,1.1,1719324587000,1,10,3,https://github.com/lightweight-component/aj-lightweight-springboot,lightweight-component,aj-lightweight-springboot,https://api.github.com/repos/lightweight-component/aj-lightweight-springboot/languages,Java,True
525,1817,187509,net.quasardb:kafka-connect-qdb,net.quasardb:kafka-connect-qdb:3.14.1,3.14.1,1705674681000,0,16,6,https://github.com/bureau14/kafka-connect-qdb,bureau14,kafka-connect-qdb,https://api.github.com/repos/bureau14/kafka-connect-qdb/languages,Java,True
526,1820,301203,net.thevpc.nuts.toolbox:nversion,net.thevpc.nuts.toolbox:nversion:0.8.3.0,0.8.3.0,1641339553000,0,2,2,https://github.com/thevpc/nuts/tree/master,thevpc,nuts,https://api.github.com/repos/thevpc/nuts/languages,Java,True
527,1823,176412,io.github.justlel:tghandlers,io.github.justlel:tghandlers:0.3.8,0.3.8,1652443495000,0,3,2,https://github.com/justlel/TGHandlers/tree/master,justlel,TGHandlers,https://api.github.com/repos/justlel/TGHandlers/languages,Java,True
529,1827,218775,org.cryptomator:jfuse-linux-amd64,org.cryptomator:jfuse-linux-amd64:0.7.0,0.7.0,1711019568000,1,4,1,https://github.com/cryptomator/jfuse/tree/develop/jfuse-linux-amd64,cryptomator,jfuse,https://api.github.com/repos/cryptomator/jfuse/languages,Java,True
531,1830,534914,com.jdcloud.sdk:refund,com.jdcloud.sdk:refund:0.0.1,0.0.1,1626431144000,0,1,1,https://github.com/jdcloud-api/jdcloud-sdk-java,jdcloud-api,jdcloud-sdk-java,https://api.github.com/repos/jdcloud-api/jdcloud-sdk-java/languages,Java,True
534,1847,147975,org.geolatte:geolatte-geom,org.geolatte:geolatte-geom:1.9.1,1.9.1,1681806535000,27,6,2,https://github.com/geolatte/geolatte-geom,geolatte,geolatte-geom,https://api.github.com/repos/geolatte/geolatte-geom/languages,Java,True
540,1870,32777,com.arextest:arex-common,com.arextest:arex-common:0.2.5,0.2.5,1724921019000,0,17,16,https://github.com/arextest/arex-common,arextest,arex-common,https://api.github.com/repos/arextest/arex-common/languages,Java,True
541,1872,624511,io.github.fishlikewater:http-core,io.github.fishlikewater:http-core:1.0.4,1.0.4,1721660756000,1,7,5,https://github.com/fishlikewater/raiden/tree/master/raiden-parent/raiden-http/http-core,fishlikewater,raiden,https://api.github.com/repos/fishlikewater/raiden/languages,Java,True
542,1877,229072,org.apache.servicecomb.pack:omega-spring-cloud-eureka-starter,org.apache.servicecomb.pack:omega-spring-cloud-eureka-starter:0.7.1,0.7.1,1659543874000,0,4,4,https://github.com/apache/servicecomb-saga/pack-dependencies/omega/omega-spring-cloud-eureka-starter,apache,servicecomb-saga,https://api.github.com/repos/apache/servicecomb-saga/languages,Java,True
544,1883,234761,com.github.ddth:ddth-queue-disruptor,com.github.ddth:ddth-queue-disruptor:1.0.0,1.0.0,1563906327000,0,14,10,https://github.com/DDTH/ddth-queue,DDTH,ddth-queue,https://api.github.com/repos/DDTH/ddth-queue/languages,Java,True
545,1885,389851,net.winroad:htmldoclet4jdk8,net.winroad:htmldoclet4jdk8:1.2.3,1.2.3,1530947095000,0,3,3,https://github.com/WinRoad-NET/htmldoclet4jdk8,WinRoad-NET,htmldoclet4jdk8,https://api.github.com/repos/WinRoad-NET/htmldoclet4jdk8/languages,Java,True
546,1888,178951,com.github.maybeec:lexeme,com.github.maybeec:lexeme:3.0.0,3.0.0,1671433784000,0,9,6,git@github.com:maybeec/lexeme.git,maybeec,lexeme,https://api.github.com/repos/maybeec/lexeme/languages,Java,True
548,1894,234938,com.kibocommerce:solrschemamanager,com.kibocommerce:solrschemamanager:2.0.0,2.0.0,1689275387000,0,16,12,https://github.com/KiboSoftware/java-sdk-poc.git,KiboSoftware,java-sdk-poc,https://api.github.com/repos/KiboSoftware/java-sdk-poc/languages,Java,True
549,1896,64144,com.microsoft.azure.cognitiveservices:azure-cognitiveservices-newssearch,com.microsoft.azure.cognitiveservices:azure-cognitiveservices-newssearch:1.0.2,1.0.2,1533072356000,0,1,1,https://github.com/Azure/azure-sdk-for-java/cognitiveservices/data-plane/search/bingnewssearch,Azure,azure-sdk-for-java,https://api.github.com/repos/Azure/azure-sdk-for-java/languages,Java,True
551,1901,353371,com.helger.dcng:dcng-holodeck,com.helger.dcng:dcng-holodeck:0.2.15,0.2.15,1680821313000,0,8,3,https://github.com/de4a-wp5/de4a-connector-ng/dcng-holodeck,de4a-wp5,de4a-connector-ng,https://api.github.com/repos/de4a-wp5/de4a-connector-ng/languages,Java,True
554,1911,308262,dev.brachtendorf:JImageHash,dev.brachtendorf:JImageHash:1.0.0,1.0.0,1624188387000,1,6,3,https://github.com/KilianB/JImageHash,KilianB,JImageHash,https://api.github.com/repos/KilianB/JImageHash/languages,Java,True
555,1919,132517,org.eclipse.ditto:ditto-internal-utils-persistence,org.eclipse.ditto:ditto-internal-utils-persistence:3.5.10,3.5.10,1718698473000,6,19,19,https://github.com/eclipse-ditto/ditto.git/ditto-bom/ditto-internal/ditto-internal-utils/ditto-internal-utils-persistence,eclipse-ditto,ditto,https://api.github.com/repos/eclipse-ditto/ditto/languages,Java,True
556,1923,246303,com.github.waffle:waffle-tomcat85,com.github.waffle:waffle-tomcat85:3.4.0,3.4.0,1715041188000,5,22,3,https://github.com/Waffle/waffle,Waffle,waffle,https://api.github.com/repos/Waffle/waffle/languages,Java,True
558,1927,463935,org.wonderdb:wonderdbjdbcdriver,org.wonderdb:wonderdbjdbcdriver:0.2,0.2,1431891389000,0,2,1,https://github.com/dreamdbvilas/wonderdb.git,dreamdbvilas,wonderdb,https://api.github.com/repos/dreamdbvilas/wonderdb/languages,Java,True
562,1936,47803,com.azure:azure-spring-data-cosmos,com.azure:azure-spring-data-cosmos:5.15.0,5.15.0,1722995624000,4,25,15,https://github.com/Azure/azure-sdk-for-java/tree/master/sdk/spring/azure-spring-data-cosmos,Azure,azure-sdk-for-java,https://api.github.com/repos/Azure/azure-sdk-for-java/languages,Java,True
563,1940,176476,org.apache.dubbo:dubbo-rpc-xml,org.apache.dubbo:dubbo-rpc-xml:2.7.23,2.7.23,1679716333000,0,11,5,https://github.com/apache/dubbo,apache,dubbo,https://api.github.com/repos/apache/dubbo/languages,Java,True
564,1945,125598,com.io7m.wastebasket:com.io7m.wastebasket.tests,com.io7m.wastebasket:com.io7m.wastebasket.tests:0.0.1,0.0.1,1586694051000,0,6,4,http://github.com/io7m/wastebasket,io7m,wastebasket,https://api.github.com/repos/io7m/wastebasket/languages,Java,True
565,1946,51853,com.cathive.fx:fx-guice,com.cathive.fx:fx-guice:8.0.0,8.0.0,1418653300000,0,3,1,https://github.com/cathive/fx-guice/,cathive,fx-guice,https://api.github.com/repos/cathive/fx-guice/languages,Java,True
567,1950,437191,com.facebook:nailgun-examples,com.facebook:nailgun-examples:1.0.1,1.0.1,1573767672000,0,1,1,http://github.com/facebook/nailgun,facebook,nailgun,https://api.github.com/repos/facebook/nailgun/languages,Java,True
568,1952,17646,com.google.cloud:google-cloud-dlp,com.google.cloud:google-cloud-dlp:3.52.0,3.52.0,1724283812000,0,48,39,https://github.com/googleapis/google-cloud-java,googleapis,google-cloud-java,https://api.github.com/repos/googleapis/google-cloud-java/languages,Java,True
571,1963,481544,org.simpleflatmapper:lightning-csv-jre6,org.simpleflatmapper:lightning-csv-jre6:8.2.3,8.2.3,1589133520000,0,2,2,scm:git:git://github.com/arnaudroger/SimpleFlatMapper.git/lightning-csv-jre6,arnaudroger,SimpleFlatMapper,https://api.github.com/repos/arnaudroger/SimpleFlatMapper/languages,Java,True
572,1967,523855,net.tirasa.connid.bundles:net.tirasa.connid.bundles.azure,net.tirasa.connid.bundles:net.tirasa.connid.bundles.azure:2.0.2,2.0.2,1692347897000,0,10,5,scm:git:git@github.com:Tirasa/ConnIdAzureBundle.git,Tirasa,ConnIdAzureBundle,https://api.github.com/repos/Tirasa/ConnIdAzureBundle/languages,Java,True
573,1969,559624,de.zalando:zmon-eventlog-service,de.zalando:zmon-eventlog-service:1.0-M1,1.0-M1,1453988240000,0,11,6,https://github.com/zalando/zmon-eventlog-service,zalando,zmon-eventlog-service,https://api.github.com/repos/zalando/zmon-eventlog-service/languages,Java,True
574,1974,416608,com.github.livesense:org.liveSense.service.apacheds,com.github.livesense:org.liveSense.service.apacheds:1.0.5,1.0.5,1401710881000,0,19,9,https://github.com/liveSense/org.liveSense.service.apacheds,liveSense,org.liveSense.service.apacheds,https://api.github.com/repos/liveSense/org.liveSense.service.apacheds/languages,Java,True
575,1976,113922,io.github.pleuvoir:redis-plugin,io.github.pleuvoir:redis-plugin:1.1.1,1.1.1,1550386514000,0,3,3,https://github.com/pleuvoir/redis-plugin,pleuvoir,redis-plugin,https://api.github.com/repos/pleuvoir/redis-plugin/languages,Java,True
577,1978,101628,org.jsmart:rest-bdd-zerocode,org.jsmart:rest-bdd-zerocode:1.1.1,1.1.1,1467837463000,0,16,15,https://github.com/authorjapps/zerocode,authorjapps,zerocode,https://api.github.com/repos/authorjapps/zerocode/languages,Java,True
578,1979,411287,org.op4j:op4j-ognl,org.op4j:op4j-ognl:1.2,1.2,1336950059000,0,6,5,scm:git:git@github.com:op4j/op4j-ognl.git,op4j,op4j-ognl,https://api.github.com/repos/op4j/op4j-ognl/languages,Java,True
579,1980,432029,io.github.chungtsai:test,io.github.chungtsai:test:0.0.5,0.0.5,1645170421000,5,8,6,git@github.com:chungtsai/test.git,chungtsai,test,https://api.github.com/repos/chungtsai/test/languages,Java,True
580,1984,259067,com.tencentcloudapi:tencentcloud-sdk-java-gpm,com.tencentcloudapi:tencentcloud-sdk-java-gpm:3.1.894,3.1.894,1698296140000,0,1,1,https://github.com/TencentCloud/tencentcloud-sdk-java,TencentCloud,tencentcloud-sdk-java,https://api.github.com/repos/TencentCloud/tencentcloud-sdk-java/languages,Java,True
581,2007,245674,com.github.ddth:ddth-queue-redis,com.github.ddth:ddth-queue-redis:1.0.0,1.0.0,1563906358000,0,14,10,https://github.com/DDTH/ddth-queue,DDTH,ddth-queue,https://api.github.com/repos/DDTH/ddth-queue/languages,Java,True
583,2013,71822,io.github.pnoker:dc3-parent,io.github.pnoker:dc3-parent:2024.3.2,2024.3.2,1718104034000,0,6,3,https://github.com/pnoker/iot-dc3,pnoker,iot-dc3,https://api.github.com/repos/pnoker/iot-dc3/languages,Java,True
584,2016,258325,com.ucomponent:ucomponent-utils,com.ucomponent:ucomponent-utils:1.1.0,1.1.0,1560737852000,0,29,27,https://github.com/daimalaoge/uc_utils,daimalaoge,uc_utils,https://api.github.com/repos/daimalaoge/uc_utils/languages,Java,True
586,2024,525654,io.github.ucl-ingi:JavaGrader,io.github.ucl-ingi:JavaGrader:1.0.6,1.0.6,1675430650000,0,7,6,https://github.com/UCL-INGI/JavaGrader/tree/main,UCL-INGI,JavaGrader,https://api.github.com/repos/UCL-INGI/JavaGrader/languages,Java,True
588,2029,319753,com.helger:phase4-peppol-servlet,com.helger:phase4-peppol-servlet:0.9.16,0.9.16,1590010167000,0,11,8,https://github.com/phax/phase4/phase4-peppol-servlet,phax,phase4,https://api.github.com/repos/phax/phase4/languages,Java,True
591,2037,491455,com.github.ansell.shp:utm2wgs,com.github.ansell.shp:utm2wgs:0.0.3,0.0.3,1508210565000,0,7,4,git@github.com:ansell/utm2wgs.git,ansell,utm2wgs,https://api.github.com/repos/ansell/utm2wgs/languages,Java,True
592,2039,322288,no.uis.nio:nio-fs-test-util,no.uis.nio:nio-fs-test-util:1.1.7,1.1.7,1469833157000,0,1,1,https://github.com/uis-it/nio-fs-provider,uis-it,nio-fs-provider,https://api.github.com/repos/uis-it/nio-fs-provider/languages,Java,True
593,2040,401015,io.github.mooe1215:mooez-event-pom,io.github.mooe1215:mooez-event-pom:1.1,1.1,1665838087000,0,1,1,git@github.com:mooe1215/mooez-event.git,mooe1215,mooez-event,https://api.github.com/repos/mooe1215/mooez-event/languages,Java,True
595,2042,504443,io.burt:athena-jdbc,io.burt:athena-jdbc:0.4.0,0.4.0,1596140872000,0,6,3,https://github.com/burtcorp/athena-jdbc.git,burtcorp,athena-jdbc,https://api.github.com/repos/burtcorp/athena-jdbc/languages,Java,True
